ID,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Property Link
rmh.com20064680,20000000000.0,Kebayoran Lama,4,3,200 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-lama-jakarta-selatan-oleh-yudhi-latiarsih-20064680
rmh.com21312320,9500000000.0,Kebayoran Baru,4,4,175 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-erik-ocasa-21312320
rmh.com20217455,16500000000.0,Kebayoran Lama,6,4,500 m²,PPJB - Perjanjian Pengikatan Jual Beli,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-hijau-jakarta-selatan-oleh-tita-tresnawati-20217455
rmh.com21310599,12500000000.0,Cilandak,4,3,300 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-cilandak-barat-jakarta-selatan-oleh-mira-21310599
rmh.com19815849,12000000000.0,Tanah Kusir,1,1,500 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-tanah-kusir-jakarta-selatan-oleh-vidayanti-19815849
rmh.com20743492,3700000000.0,Mampang Prapatan,10,10,300 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-mampang-prapatan-jakarta-selatan-oleh-ilham-20743492
rmh.com20434924,11500000000.0,Kebayoran Baru,4,3,200 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-ilham-20434924
rmh.com20944160,10000000000.0,Pondok Pinang,5,4,400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-pinang-jakarta-selatan-oleh-ilham-20944160
rmh.com20761973,5100000000.0,Bangka,5,4,212 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-bangka-kemang-jakarta-selatan-oleh-ilham-20761973
rmh.com20234322,4500000000.0,Cilandak,4,3,168 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-cilandak-ragunan-jakarta-selatan-oleh-ilham-20234322
rmh.com20088900,120000000000.0,Permata Hijau,8,8,1000 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-permata-hijau-jakarta-selatan-oleh-ilham-20088900
rmh.com20884085,7000000000.0,Lebak Bulus,5,5,400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-lebak-bulus-jakarta-selatan-oleh-ilham-20884085
rmh.com18050353,5185000000.0,Bintaro,3,4,450 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-jakarta-selatan-oleh-paulus-ridwan-mulyana-18050353
rmh.com20832130,3850000000.0,Lebak Bulus,5,4,150 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-lebak-bulus-jakarta-selatan-oleh-yossy-20832130
rmh.com21308896,1650000000.0,Jagakarsa,3,3,120 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-jagakarsa-ragunan-jakarta-selatan-oleh-alia-nurfallah-21308896
rmh.com20122819,2100000000.0,Pesanggrahan,4,3,200 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-depsos-veteran-jakarta-selatan-oleh-lia-hikma-20122819
rmh.com21269473,11000000000.0,Pondok Indah,6,5,450 m²,SHGB - Hak Guna Bangunan,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-ade-widianto-21269473
rmh.com21161016,9000000000.0,Jagakarsa,4,4,334 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-rumah-jagakarsa-jakarta-selatan-oleh-fardi-lie-21161016
rmh.com20772672,60000000000.0,Kebayoran Baru,4,4,550 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-ilda-mariam-20772672
rmh.com20627922,5950000000.0,Pondok Indah,4,4,128 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-dewi-20627922
rmh.com20131233,47000000000.0,Pondok Indah,7,7,1200 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-putu-dewi-20131233
rmh.com21302009,16000000000.0,Cilandak,6,7,650 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-tb-simatupang-jakarta-selatan-oleh-joy-antonius-21302009
rmh.com21301825,7000000000.0,Cipete,4,4,375 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-cipete-utara-jakarta-selatan-oleh-syaiful-anwar-21301825
rmh.com20784125,25500000000.0,Kemang,7,5,450 m²,PPJB - Perjanjian Pengikatan Jual Beli,SOUTH,https://www.rumah.com/listing-properti/dijual-kemang-raya-jakarta-selatan-oleh-maria-lim-20784125
